ID,Year,Stage,Home Team,Home Goals,Away Goals,Away Team,Host Team or Not
1,1930,Group stage,France,4,1,Mexico,0
2,1930,Group stage,United States,3,0,Belgium,0
3,1930,Group stage,Yugoslavia,2,1,Brazil,0
4,1930,Group stage,Romania,3,1,Peru,0
5,1930,Group stage,Argentina,1,0,France,0
6,1930,Group stage,Chile,3,0,Mexico,0
7,1930,Group stage,Yugoslavia,4,0,Bolivia,0
8,1930,Group stage,United States,3,0,Paraguay,0
9,1930,Group stage,Uruguay,1,0,Peru,1
10,1930,Group stage,Chile,1,0,France,0
11,1930,Group stage,Argentina,6,3,Mexico,0
12,1930,Group stage,Brazil,4,0,Bolivia,0
13,1930,Group stage,Paraguay,1,0,Belgium,0
14,1930,Group stage,Uruguay,4,0,Romania,1
15,1930,Group stage,Argentina,3,1,Chile,0
16,1930,Semi-finals,Argentina,6,1,United States,0
17,1930,Semi-finals,Uruguay,6,1,Yugoslavia,1
18,1930,Final,Uruguay,4,2,Argentina,1
19,1934,Round of 16,Austria,3,2,France,0
20,1934,Round of 16,Hungary,4,2,Egypt,0
21,1934,Round of 16,Switzerland,3,2,Netherlands,0
22,1934,Round of 16,Sweden,3,2,Argentina,0
23,1934,Round of 16,Germany,5,2,Belgium,0
24,1934,Round of 16,Spain,3,1,Brazil,0
25,1934,Round of 16,Italy,7,1,United States,1
26,1934,Round of 16,Czechoslovakia,2,1,Romania,0
27,1934,Quarter-finals,Czechoslovakia,3,2,Switzerland,0
28,1934,Quarter-finals,Germany,2,1,Sweden,0
29,1934,Quarter-finals,Italy,1,1,Spain,1
30,1934,Quarter-finals,Austria,2,1,Hungary,0
31,1934,Quarter-finals,Italy,1,0,Spain,1
32,1934,Semi-finals,Italy,1,0,Austria,1
33,1934,Semi-finals,Czechoslovakia,3,1,Germany,0
34,1934,Third place,Germany,3,2,Austria,0
35,1934,Final,Italy,2,1,Czechoslovakia,1
36,1938,Round of 16,Switzerland,1,1,Germany,0
37,1938,Round of 16,Hungary,6,0,Indonesia,0
38,1938,Round of 16,France,3,1,Belgium,1
39,1938,Round of 16,Cuba,3,3,Romania,0
40,1938,Round of 16,Italy,2,1,Norway,0
41,1938,Round of 16,Brazil,6,5,Poland,0
42,1938,Round of 16,Czechoslovakia,3,0,Netherlands,0
43,1938,Round of 16,Cuba,2,1,Romania,0
44,1938,Round of 16,Switzerland,4,2,Germany,0
45,1938,Quarter-finals,Brazil,1,1,Czechoslovakia,0
46,1938,Quarter-finals,Hungary,2,0,Switzerland,0
47,1938,Quarter-finals,Sweden,8,0,Cuba,0
48,1938,Quarter-finals,France,1,3,Italy,1
49,1938,Quarter-finals,Brazil,2,1,Czechoslovakia,0
50,1938,Semi-finals,Hungary,5,1,Sweden,0
51,1938,Semi-finals,Italy,2,1,Brazil,0
52,1938,Third place,Brazil,4,2,Sweden,0
53,1938,Final,Italy,4,2,Hungary,0
54,1950,First round,Brazil,4,0,Mexico,1
55,1950,First round,England,2,0,Chile,0
56,1950,First round,Spain,3,1,United States,0
57,1950,First round,Sweden,3,2,Italy,0
58,1950,First round,Yugoslavia,3,0,Switzerland,0
59,1950,First round,Brazil,2,2,Switzerland,1
60,1950,First round,Yugoslavia,4,1,Mexico,0
61,1950,First round,Spain,2,0,Chile,0
62,1950,First round,United States,1,0,England,0
63,1950,First round,Sweden,2,2,Paraguay,0
64,1950,First round,Brazil,2,0,Yugoslavia,1
65,1950,First round,Spain,1,0,England,0
66,1950,First round,Italy,2,0,Paraguay,0
67,1950,First round,Uruguay,8,0,Bolivia,0
68,1950,First round,Chile,5,2,United States,0
69,1950,First round,Switzerland,2,1,Mexico,0
70,1950,Final round,Uruguay,2,2,Spain,0
71,1950,Final round,Brazil,7,1,Sweden,1
72,1950,Final round,Brazil,6,1,Spain,1
73,1950,Final round,Uruguay,3,2,Sweden,0
74,1950,Final round,Sweden,3,1,Spain,0
75,1950,Final round,Uruguay,2,1,Brazil,1
76,1954,Group stage,Uruguay,2,0,Czechoslovakia,0
77,1954,Group stage,Austria,1,0,Scotland,0
78,1954,Group stage,Brazil,5,0,Mexico,0
79,1954,Group stage,Yugoslavia,1,0,France,0
80,1954,Group stage,Switzerland,2,1,Italy,1
81,1954,Group stage,Germany,4,1,Turkey,0
82,1954,Group stage,Hungary,9,0,South Korea,0
83,1954,Group stage,England,4,4,Belgium,0
84,1954,Group stage,Uruguay,7,0,Scotland,0
85,1954,Group stage,Austria,5,0,Czechoslovakia,0
86,1954,Group stage,Brazil,1,1,Yugoslavia,0
87,1954,Group stage,France,3,2,Mexico,0
88,1954,Group stage,Hungary,8,3,Germany,0
89,1954,Group stage,Turkey,7,0,South Korea,0
90,1954,Group stage,Italy,4,1,Belgium,0
91,1954,Group stage,Switzerland,0,2,England,1
92,1954,Group stage,Germany,7,2,Turkey,0
93,1954,Group stage,Switzerland,4,1,Italy,1
94,1954,Quarter-finals,Uruguay,4,2,England,0
95,1954,Quarter-finals,Switzerland,5,7,Austria,1
96,1954,Quarter-finals,Germany,2,0,Yugoslavia,0
97,1954,Quarter-finals,Hungary,4,2,Brazil,0
98,1954,Semi-finals,Germany,6,1,Austria,0
99,1954,Semi-finals,Hungary,4,2,Uruguay,0
100,1954,Third place,Austria,3,1,Uruguay,0
101,1954,Final,Germany,3,2,Hungary,0
102,1958,Group stage,Sweden,3,0,Mexico,1
103,1958,Group stage,Russia,2,2,England,0
104,1958,Group stage,Argentina,1,3,Germany,0
105,1958,Group stage,Hungary,1,1,Wales,0
106,1958,Group stage,France,7,3,Paraguay,0
107,1958,Group stage,Yugoslavia,1,1,Scotland,0
108,1958,Group stage,Brazil,3,0,Austria,0
109,1958,Group stage,Northern Ireland,1,0,Czechoslovakia,0
110,1958,Group stage,Brazil,0,0,England,0
111,1958,Group stage,Mexico,1,1,Wales,0
112,1958,Group stage,Paraguay,3,2,Scotland,0
113,1958,Group stage,Yugoslavia,3,2,France,0
114,1958,Group stage,Russia,2,0,Austria,0
115,1958,Group stage,Germany,2,2,Czechoslovakia,0
116,1958,Group stage,Argentina,3,1,Northern Ireland,0
117,1958,Group stage,Sweden,2,1,Hungary,1
118,1958,Group stage,Sweden,0,0,Wales,1
119,1958,Group stage,Brazil,2,0,Russia,0
120,1958,Group stage,Germany,2,2,Northern Ireland,0
121,1958,Group stage,Hungary,4,0,Mexico,0
122,1958,Group stage,Paraguay,3,3,Yugoslavia,0
123,1958,Group stage,France,2,1,Scotland,0
124,1958,Group stage,England,2,2,Austria,0
125,1958,Group stage,Czechoslovakia,6,1,Argentina,0
126,1958,Group stage,Russia,1,0,England,0
127,1958,Group stage,Northern Ireland,2,1,Czechoslovakia,0
128,1958,Group stage,Wales,2,1,Hungary,0
129,1958,Quarter-finals,Brazil,1,0,Wales,0
130,1958,Quarter-finals,Germany,1,0,Yugoslavia,0
131,1958,Quarter-finals,Sweden,2,0,Russia,1
132,1958,Quarter-finals,France,4,0,Northern Ireland,0
133,1958,Semi-finals,Sweden,3,1,Germany,1
134,1958,Semi-finals,Brazil,5,2,France,0
135,1958,Third place,France,6,3,Germany,0
136,1958,Final,Sweden,2,5,Brazil,1
137,1962,Group stage,Uruguay,2,1,Colombia,0
138,1962,Group stage,Brazil,2,0,Mexico,0
139,1962,Group stage,Argentina,1,0,Bulgaria,0
140,1962,Group stage,Chile,3,1,Switzerland,1
141,1962,Group stage,Russia,2,0,Yugoslavia,0
142,1962,Group stage,Czechoslovakia,1,0,Spain,0
143,1962,Group stage,Hungary,2,1,England,0
144,1962,Group stage,Germany,0,0,Italy,0
